opened_at,closed_at,ticker_1,ticker_2,direction_1,direction_2,entry_zscore,exit_zscore,exit_reason,hedge_ratio,intercept,reserved_capital,quantity_1,quantity_2,entry_price_1,entry_price_2,exit_price_1,exit_price_2,gross_pnl,open_fee,close_fee,fees_paid,net_pnl,return_pct
2026-04-17T18:35:23.213475,2026-04-18T01:00:15.363391,FARTCOINUSDT,VIRTUALUSDT,Long,Short,-2.541332482309778,-1.7302736045208742,model_breakdown_coint,0.5276700381444945,-0.1670405726711892,99.0,474.0,250.0,0.2222,0.7654,0.21708658268346331,0.7524504599999999,0.8136251919616164,0.05933456,0.16005641035557888,0.2193909703555789,0.5942342216060376,0.600236587480846
2026-04-17T18:35:42.020249,2026-04-18T02:07:12.357421,SHIB1000USDT,1000NEIROCTOUSDT,Short,Long,2.215244599093166,0.4980698716902786,mean_reversion,0.0058455929060760485,0.005572146508113581,99.03840893555112,42640.0,249.0,0.006362,0.10363,0.0062382474,0.10595880823835234,5.856684115349721,0.05941591,0.16081043681304238,0.22022634681304237,5.636457768536679,5.691183682286923
2026-04-18T02:46:49.958312,2026-04-18T04:01:01.147998,SUIUSDT,HUSDT,Long,Short,-2.255239000035896,-2.2848107734100473,model_breakdown_coint,3.1706513202764084,0.6180829378743655,99.29748624241554,210.0,660.0,0.9976,0.13214,0.99500099980004,0.13308661200000002,-1.1705539619916228,0.05934168,0.16323305563290463,0.22257473563290464,-1.3931286976245274,-1.4029848592777807
2026-04-18T02:46:42.956342,2026-04-18T05:52:57.407826,XMRUSDT,COMPUSDT,Long,Short,-2.5969599592747703,-4.047366346332686,zscore_stop,2.9611529348124916,278.96522189111056,99.2535392513672,0.7,2.07,346.95,26.426,346.8606278744251,29.2268442,-5.860307981902408,0.05951336399999999,0.1668161038533537,0.22632946785335367,-6.086637449755762,-6.132413509548396
2026-04-17T22:41:14.645125,2026-04-18T08:00:02.016317,PENGUUSDT,XRPUSDT,Long,Short,-2.7297943962689257,-1.2726534262283937,model_breakdown_coint,0.01068681694546224,-0.00776464655449511,99.12041210880203,12550.0,134.1,0.007818,1.4852,0.0077874425114977,1.47369468,1.159366931296157,0.059456244000000005,0.16244517305901288,0.2219014170590129,0.9374655142371441,0.9457845203550116
2026-04-18T06:52:55.620022,2026-04-18T08:00:08.731655,SEIUSDT,YBUSDT,Long,Short,-2.314569575827538,-1.5403449313935351,model_breakdown_coint,0.09108238084062231,0.044005640965382724,99.10254362290138,4019.0,366.0,0.05834,0.17159,0.058218356328734254,0.158511696,4.2977733491829495,0.05945408,0.16059717015165065,0.22005125015165064,4.077722099031299,4.114649281402488
2026-04-17T18:35:46.584803,2026-04-18T09:00:53.934921,ENJUSDT,TRXUSDT,Long,Short,-2.37912280604001,-1.976526633101412,model_breakdown_coint,4.2595070206412835,-1.32490054117646,99.05822941083741,204.1,869.0,0.064085,0.32673,0.05743451309738052,0.327525492,-2.0486469248245958,0.05940162370000001,0.16298812016914643,0.22238974386914645,-2.271036668693742,-2.2926279645831027
2026-04-18T02:46:47.382529,2026-04-18T09:01:03.581420,AVAXUSDT,POPCATUSDT,Long,Short,-2.705866949553137,-2.2638399264094105,model_breakdown_coint,68.17582178901286,5.698965127333573,99.27525127839402,20.9,1424.0,9.723,0.06614,9.546090781843631,0.064402878,-1.223740931468114,0.059478812000000006,0.16017264758689254,0.21965145958689253,-1.4433923910550066,-1.4539297281729895
2026-04-17T18:35:33.682164,2026-04-18T09:14:45.568651,CRVUSDT,LDOUSDT,Short,Long,2.360932968497361,0.45930583694164506,mean_reversion,0.18354994684543346,0.15543003172433573,99.01900528133878,935.5,171.7,0.2393,0.4262,0.23464692,0.41771645670865826,2.896331956876623,0.059408737999999996,0.16017876010228216,0.21958749810228215,2.6767444587743405,2.703263329265945
2026-04-18T10:58:22.591036,2026-04-18T11:01:14.163287,LTCUSDT,THETAUSDT,Long,Short,-2.893833819608048,-2.7504727026532634,model_breakdown_coint,45.16904353088202,46.591669949267825,99.21441702940604,4.4,198.7,56.11,0.24382,56.078784243151375,0.24417882600000002,-0.20864805633394784,0.059066206800000014,0.16239574086783637,0.2214619476678364,-0.43011000400178423,-0.43351562895773954
2026-04-18T10:58:16.086041,2026-04-18T11:54:30.421492,METISUSDT,ALICEUSDT,Long,Short,-2.8102047814039754,-2.278643090322704,profit_lock_stop,19.060754197267784,0.874215064399555,99.19220248090386,36.9,703.3,3.741,0.22677,3.732,0.21952,4.766825000000008,0.0595060482,0.058419843199999995,0.1179258914,4.648899108600008,4.686758628527276
2026-04-18T10:58:31.564279,2026-04-18T13:31:22.295901,SHIB1000USDT,PORTALUSDT,Long,Short,-2.258460960548236,-1.6965972032318843,profit_lock_stop,0.07306928519907069,0.005294387429749848,99.26052664929128,41320.0,3019.2,0.00615,0.014445,0.006086,0.012555,3.0618080000000054,0.059546068800000004,0.0578759152,0.11742198400000001,2.9443860160000055,2.9663211705526735
2026-04-18T10:57:48.876456,2026-04-18T13:55:35.334610,XMRUSDT,FARTCOINUSDT,Short,Long,2.497386216742318,0.4932662681850953,mean_reversion,370.60094242925254,267.3361599865677,99.14930022345571,0.69,255.0,350.79,0.20764,345.799146,0.2098280343931214,4.001638030245966,0.05899866,0.16065915773063527,0.21965781773063528,3.781980212515331,3.81442955622659
2026-04-18T02:46:36.675723,2026-04-18T14:31:21.637655,LINKUSDT,MUSDT,Long,Short,-2.6032608770651255,-0.1955973656456229,mean_reversion,0.6088811867971378,7.251235315027827,99.23231191110557,24.1,14.0,9.614,4.4892,9.384123175364927,3.57861558,7.2081504062947195,0.058909240000000015,0.15194189265546212,0.21085113265546213,6.997299273639257,7.05143227934424
2026-04-18T10:58:03.897739,2026-04-18T16:11:57.485676,BEATUSDT,UNIUSDT,Short,Long,2.3737364709711803,1.2260598783659262,profit_lock_stop,0.3627840141379949,-0.7919966669015978,99.17050668547468,170.0,61.6,0.52207,3.379,0.50198,3.381,3.5384999999999955,0.05937966,0.05872124,0.11810090000000001,3.4203990999999956,3.4490083940460243
2026-04-18T15:03:04.205266,2026-04-18T17:13:14.748718,SOONUSDT,API3USDT,Long,Short,-2.477297329715194,-1.9739519464813673,profit_lock_stop,1.0993956283673487,-0.18160643855508246,99.57360365259568,463.0,509.0,0.19051,0.4128,0.18718,0.4068,1.5122100000000032,0.059664266,0.058745108000000004,0.11840937400000001,1.393800626000003,1.3997691907012442
