,EIGENUSDT,BNXUSDT,Spread,ZScore
0,3.474,0.7088,0.2489600000000003,
1,3.5002,0.7094,0.27242999999999995,
2,3.5108,0.7091,0.2843950000000004,
3,3.4739,0.7085,0.2502249999999999,
4,3.318,0.7155,0.06247500000000006,
5,3.2577,0.7024,0.061779999999999724,
6,3.2168,0.7074,-0.0018699999999998163,
7,3.2093,0.7168,-0.052140000000000075,
8,3.2168,0.7261,-0.08695499999999967,
9,3.2505,0.7214,-0.031870000000000065,
10,3.217,0.7275,-0.09312500000000012,
11,3.2071,0.725,-0.09164999999999957,
12,3.2229,0.7213,-0.05901500000000004,
13,3.296,0.7195,0.0222749999999996,
14,3.2951,0.7376,-0.06097999999999981,
15,3.3025,0.7307,-0.0221849999999999,
16,3.2741,0.715,0.020850000000000257,
17,3.2803,0.7122,0.03978999999999999,
18,3.2745,0.7107,0.04081500000000027,
19,3.252,0.7211,-0.029004999999999725,
20,3.2391,0.7092,0.012239999999999807,-0.20652650857067412
21,3.1873,0.709,-0.03864999999999963,-0.5517136989108625
22,3.1985,0.703,-0.0001499999999996504,-0.11212768417468459
23,3.1935,0.709,-0.03244999999999987,-0.3737391140573354
24,3.1975,0.7092,-0.029360000000000497,-0.2459667591501846
25,3.2631,0.7121,0.02304500000000065,0.9382491209774466
26,3.2681,0.7115,0.03077500000000022,1.2035182637017394
27,3.1828,0.7005,-0.004475000000000229,0.3864547064289534
28,3.2171,0.6999,0.032555000000000334,1.131599349407006
29,3.1936,0.702,-0.0004999999999997229,0.3035386753809186
30,3.1966,0.7094,-0.03116999999999992,-0.44773031582313705
31,3.2059,0.706,-0.006399999999999295,0.06425498221417239
32,3.2419,0.7049,0.034605,1.1554407560263769
33,3.2348,0.7018,0.041609999999999925,1.2764627632830714
34,3.254,0.7057,0.04306500000000035,1.2513118754419723
35,3.2424,0.6988,0.06286000000000014,1.7400223861312811
36,3.2469,0.7005,0.05962500000000004,1.4619243146012642
37,3.2588,0.6999,0.0742550000000004,1.6975574327490432
38,3.2287,0.7062,0.015489999999999782,0.03688283160619111
39,3.2253,0.7001,0.03984500000000013,0.7506217875438603
40,3.2503,0.7001,0.06484500000000049,1.3430374327174601
41,3.1806,0.7019,-0.01304499999999953,-0.8695144803615843
42,3.1914,0.6935,0.03597500000000009,0.45646294259225995
43,3.1675,0.6937,0.011165000000000092,-0.31886392718400003
44,3.1628,0.6969,-0.008094999999999963,-0.9963548173224631
45,3.1665,0.703,-0.03214999999999968,-1.7567341368223377
46,3.226,0.7055,0.015975000000000072,-0.200585106950721
47,3.2409,0.7136,-0.005980000000000096,-0.8345959825575882
48,3.2127,0.7119,-0.02644499999999983,-1.3941672856448997
49,3.1681,0.7163,-0.0910650000000004,-2.5766322593817486
50,3.1593,0.7133,-0.08621500000000015,-2.0787053526007133
51,3.1266,0.7153,-0.12801500000000043,-2.4426734846064635
52,3.08,0.7066,-0.13502999999999998,-2.1442041823692213
53,3.0677,0.7126,-0.17463000000000006,-2.2603466295996895
54,2.9282,0.7048,-0.2786399999999998,-2.7484712705737437
55,2.9618,0.7118,-0.2768899999999994,-2.2355080046842035
56,2.9529,0.7199,-0.3226449999999996,-2.2102994623889147
57,2.9622,0.7151,-0.29150499999999946,-1.709217477730623
58,2.9982,0.7124,-0.24322,-1.2043321080114033
59,2.9583,0.7045,-0.24717499999999992,-1.1199057065097644
60,2.7592,0.6476,-0.18737999999999966,-0.580747298274133
61,2.8079,0.6494,-0.14686999999999983,-0.18371722940304894
62,2.7938,0.6215,-0.034025000000000194,0.7933809950115459
63,2.8302,0.6265,-0.020374999999999588,0.9612757044956607
64,2.8422,0.6296,-0.022479999999999833,0.9728679742403123
65,2.8443,0.6292,-0.01855999999999991,1.017698802624402
66,2.8523,0.6454,-0.08426999999999962,0.45319728474100207
67,2.8749,0.6418,-0.04529000000000005,0.8655538095962965
68,2.8225,0.637,-0.07584999999999997,0.6266220491599905
69,2.8264,0.6362,-0.06830999999999987,0.7338841716673746
70,2.8206,0.6364,-0.07501999999999942,0.6562212988533003
71,2.8245,0.6391,-0.08340499999999995,0.5711355308381587
72,2.829,0.6377,-0.0725349999999998,0.6459141011121847
73,2.807,0.6319,-0.0681449999999999,0.650422877733901
74,2.7689,0.6251,-0.07530499999999973,0.5329938265738523
75,2.7215,0.6058,-0.03489000000000031,0.8433923254011805
76,2.7861,0.612,0.0015000000000000568,1.1169115141464798
77,2.8025,0.6235,-0.034424999999999706,0.6917031802142288
78,2.8066,0.6308,-0.06354000000000015,0.2510552200950524
79,2.7947,0.6245,-0.04677499999999979,0.4223472378706426
80,2.8068,0.6253,-0.03831499999999988,0.5408798078085374
81,2.8433,0.6277,-0.012734999999999719,1.2154689523812239
82,2.88,0.6272,0.02624000000000004,2.3483612930095727
83,2.9133,0.63,0.046800000000000175,2.4204639421068372
84,2.9491,0.627,0.09624999999999995,2.8040532579828215
85,2.9093,0.6229,0.0751050000000002,2.0072351363250123
86,2.9561,0.6244,0.1150800000000003,2.26313904240774
87,2.9446,0.6197,0.12496499999999999,2.048084036244038
88,2.9831,0.6274,0.12843000000000027,1.8092411345510664
89,2.9482,0.6261,0.09944500000000023,1.280309547963573
90,2.9344,0.6236,0.0970200000000001,1.1315007676291073
91,2.9009,0.6233,0.0648850000000003,0.64210726491032
92,2.905,0.6277,0.048964999999999925,0.3633544137149398
93,2.9124,0.627,0.05954999999999977,0.44147419279009054
94,2.8767,0.6193,0.05888500000000052,0.3624454167123578
95,2.8981,0.6159,0.09575500000000003,0.8505946525100411
