,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
461,BNTUSDT,GASUSDT,0.01,-3.94,-3.37,0.13,1
464,BNXUSDT,1INCHUSDT,0.01,-3.88,-3.37,0.77,1
465,BNXUSDT,GALAUSDT,0.0,-5.28,-3.37,17.73,1
466,BNXUSDT,HNTUSDT,0.03,-3.49,-3.37,0.06,1
470,BOBAUSDT,CRVUSDT,0.01,-3.82,-3.37,0.36,1
473,BOBAUSDT,FRONTUSDT,0.04,-3.43,-3.37,4.18,1
477,BSVUSDT,APTUSDT,0.02,-3.62,-3.37,14.88,1
1317,HOTUSDT,CVCUSDT,0.01,-3.99,-3.37,0.01,1
480,BSVUSDT,BTCUSDT,0.02,-3.64,-3.37,0.02,1
484,BSVUSDT,CVCUSDT,0.01,-3.81,-3.37,291.76,1
490,BTCUSDT,AGLDUSDT,0.03,-3.47,-3.37,6249.53,1
456,BNTUSDT,ETCUSDT,0.01,-3.77,-3.37,0.01,1
383,AXSUSDT,GASUSDT,0.0,-4.55,-3.37,17.24,1
1336,HOTUSDT,ETCUSDT,0.01,-4.06,-3.37,0.0,1
216,ARUSDT,AMBUSDT,0.04,-3.4,-3.37,6303.87,1
2,10000000AIDOGEUSDT,BIGTIMEUSDT,0.03,-3.54,-3.37,0.03,1
3,10000000AIDOGEUSDT,CKBUSDT,0.03,-3.52,-3.37,0.47,1
1364,HOTUSDT,HIFIUSDT,0.01,-4.05,-3.37,0.0,1
73,1000XECUSDT,BCHUSDT,0.01,-3.86,-3.37,0.0,1
76,1000XECUSDT,BNXUSDT,0.04,-3.4,-3.37,0.0,1
88,1000XECUSDT,DUSKUSDT,0.01,-3.98,-3.37,0.15,1
91,1000XECUSDT,ETCUSDT,0.0,-4.43,-3.37,0.0,1
117,1INCHUSDT,HIFIUSDT,0.0,-4.44,-3.37,1.95,1
184,ALPACAUSDT,FRONTUSDT,0.02,-3.73,-3.37,0.44,1
195,ANKRUSDT,BOBAUSDT,0.01,-3.92,-3.37,0.09,1
197,ANTUSDT,CKBUSDT,0.04,-3.4,-3.37,533.44,1
202,API3USDT,DUSKUSDT,0.0,-4.17,-3.37,10.96,1
206,ARKMUSDT,FRONTUSDT,0.03,-3.57,-3.37,1.4,1
217,ARUSDT,BOBAUSDT,0.03,-3.59,-3.37,38.2,1
1337,HOTUSDT,ETHFIUSDT,0.0,-4.17,-3.37,0.0,1
219,ARUSDT,CFXUSDT,0.04,-3.46,-3.37,213.07,1
233,AUDIOUSDT,10000WENUSDT,0.04,-3.44,-3.37,4.11,1
248,AUDIOUSDT,HIFIUSDT,0.04,-3.42,-3.37,1.68,1
250,AXSUSDT,10000000AIDOGEUSDT,0.0,-4.27,-3.37,9636.5,1
1347,HOTUSDT,FRONTUSDT,0.01,-3.96,-3.37,0.02,1
285,AXSUSDT,AMBUSDT,0.0,-4.31,-3.37,7550.19,1
305,AXSUSDT,BALUSDT,0.01,-3.91,-3.37,4.08,1
306,AXSUSDT,BANDUSDT,0.01,-3.99,-3.37,16.69,1
316,AXSUSDT,BNXUSDT,0.01,-3.86,-3.37,0.79,1
329,AXSUSDT,CFXUSDT,0.0,-4.24,-3.37,255.01,1
342,AXSUSDT,CVCUSDT,0.01,-3.85,-3.37,156.44,1
365,AXSUSDT,ETHFIUSDT,0.01,-3.99,-3.37,16.73,1
507,CFXUSDT,ANKRUSDT,0.04,-3.39,-3.37,1.78,1
498,CEEKUSDT,CVCUSDT,0.02,-3.62,-3.37,0.6,1
558,CTSIUSDT,FOXYUSDT,0.01,-4.0,-3.37,25.13,1
511,CFXUSDT,CRVUSDT,0.01,-3.86,-3.37,0.06,1
1131,FORTHUSDT,ETCUSDT,0.0,-5.45,-3.37,0.06,1
984,FIREUSDT,AMBUSDT,0.03,-3.5,-3.37,123.9,1
988,FIREUSDT,BANDUSDT,0.02,-3.67,-3.37,0.27,1
992,FIREUSDT,DUSKUSDT,0.02,-3.66,-3.37,1.91,1
993,FIREUSDT,GASUSDT,0.03,-3.55,-3.37,0.28,1
1015,FLRUSDT,FRONTUSDT,0.02,-3.7,-3.37,0.09,1
1020,FLRUSDT,HOOKUSDT,0.03,-3.54,-3.37,0.01,1
1021,FORTHUSDT,10000000AIDOGEUSDT,0.0,-5.53,-3.37,414.35,1
1022,FORTHUSDT,1000000MOGUSDT,0.0,-5.46,-3.37,3.81,1
1086,FORTHUSDT,BNXUSDT,0.0,-5.41,-3.37,0.04,1
1112,FORTHUSDT,CVCUSDT,0.0,-5.57,-3.37,6.78,1
1124,FORTHUSDT,DUSKUSDT,0.0,-5.49,-3.37,4.99,1
1132,FORTHUSDT,ETHFIUSDT,0.0,-5.49,-3.37,0.72,1
952,ETHFIUSDT,BCHUSDT,0.04,-3.44,-3.37,0.01,1
1143,FORTHUSDT,FRONTUSDT,0.0,-5.4,-3.37,8.4,1
1149,FORTHUSDT,GASUSDT,0.0,-5.45,-3.37,0.74,1
1160,FORTHUSDT,HIFIUSDT,0.0,-5.42,-3.37,2.09,1
1166,FRONTUSDT,AMBUSDT,0.05,-3.38,-3.37,36.14,1
1167,FRONTUSDT,BAKEUSDT,0.04,-3.46,-3.37,0.3,1
1181,FTNUSDT,BNXUSDT,0.03,-3.57,-3.37,0.02,1
1183,FTNUSDT,CVCUSDT,0.0,-4.28,-3.37,4.47,1
1187,FTNUSDT,HIFIUSDT,0.03,-3.5,-3.37,1.38,1
1196,GALAUSDT,HIFIUSDT,0.0,-5.63,-3.37,0.06,1
1217,HFTUSDT,ETHFIUSDT,0.04,-3.42,-3.37,0.17,1
1218,HIFIUSDT,BNXUSDT,0.0,-14.5,-3.37,0.05,1
964,ETHUSDT,CVCUSDT,0.02,-3.61,-3.37,4215.7,1
943,ENJUSDT,HOOKUSDT,0.0,-4.28,-3.37,0.82,1
515,CFXUSDT,FRONTUSDT,0.03,-3.55,-3.37,0.72,1
716,EGLDUSDT,BNXUSDT,0.0,-5.59,-3.37,3.01,1
516,CFXUSDT,GASUSDT,0.03,-3.48,-3.37,0.06,1
518,CKBUSDT,DUSKUSDT,0.01,-3.81,-3.37,0.02,1
547,CRVUSDT,DODOUSDT,0.01,-3.97,-3.37,10.39,1
548,CRVUSDT,FOXYUSDT,0.0,-4.2,-3.37,243.98,1
552,CTSIUSDT,1000RATSUSDT,0.03,-3.52,-3.37,6.12,1
624,DGBUSDT,BNXUSDT,0.03,-3.47,-3.37,0.0,1
628,DGBUSDT,HIFIUSDT,0.04,-3.38,-3.37,0.02,1
651,EGLDUSDT,10000000AIDOGEUSDT,0.0,-4.65,-3.37,37215.29,1
665,EGLDUSDT,1000RATSUSDT,0.0,-4.66,-3.37,4032.03,1
686,EGLDUSDT,AMBUSDT,0.0,-5.96,-3.37,29204.13,1
688,EGLDUSDT,ANTUSDT,0.0,-4.48,-3.37,33.87,1
741,EGLDUSDT,CVCUSDT,0.0,-5.91,-3.37,603.91,1
940,ENJUSDT,HIFIUSDT,0.0,-4.51,-3.37,1.64,1
1291,HOTUSDT,BNXUSDT,0.01,-3.99,-3.37,0.0,1
763,EGLDUSDT,ETHFIUSDT,0.0,-4.31,-3.37,64.78,1
792,EGLDUSDT,HIFIUSDT,0.0,-6.06,-3.37,185.86,1
795,EGLDUSDT,HOOKUSDT,0.0,-5.98,-3.37,92.03,1
812,ENJUSDT,1000RATSUSDT,0.0,-4.14,-3.37,35.92,1
833,ENJUSDT,AMBUSDT,0.0,-4.29,-3.37,260.19,1
835,ENJUSDT,ANTUSDT,0.01,-4.06,-3.37,0.3,1
838,ENJUSDT,API3USDT,0.01,-4.0,-3.37,0.35,1
864,ENJUSDT,BNXUSDT,0.0,-4.59,-3.37,0.03,1
890,ENJUSDT,CVCUSDT,0.0,-4.24,-3.37,5.38,1
911,ENJUSDT,ETHFIUSDT,0.01,-3.92,-3.37,0.58,1
1367,HOTUSDT,HOOKUSDT,0.01,-3.82,-3.37,0.0,1
